Team,PP ID,League,GOL ID,Leaguepedia ID,Team GOL ID,Team Leageupedia ID
BRO,Morgan,LCK,Morgan,Morgan,OK BRION,OKSavingsBank_BRION
BRO,HamBak,LCK,HamBak,HamBak,OK BRION,OKSavingsBank_BRION
BRO,Clozer,LCK,Clozer,Clozer,OK BRION,OKSavingsBank_BRION
BRO,Hype,LCK,Hype,Hype_(Byeon_Jeong-hyeon),OK BRION,OKSavingsBank_BRION
BRO,Bull,LCK,Bull,Bull,OK BRION,OKSavingsBank_BRION
BRO,Pollu,LCK,Pollu,Pollu,OK BRION,OKSavingsBank_BRION
DK,Siwoo,LCK,Siwoo,Siwoo,Dplus KIA,Dplus_KIA
DK,Lucid,LCK,Lucid,Lucid_(Choi_Yong-hyeok),Dplus KIA,Dplus_KIA
DK,Showmaker,LCK,Showmaker,ShowMaker,Dplus KIA,Dplus_KIA
DK,Aiming,LCK,Aiming,Aiming,Dplus KIA,Dplus_KIA
DK,Beryl,LCK,Beryl,BeryL,Dplus KIA,Dplus_KIA
DRX,Rich,LCK,Rich,Rich_(Lee_Jae-won),DRX,DRX
DRX,Sponge,LCK,Sponge,Sponge,DRX,DRX
DRX,Ucal,LCK,Ucal,Ucal,DRX,DRX
DRX,Teddy,LCK,Teddy,Teddy,DRX,DRX
DRX,Andil,LCK,Andil,Andil,DRX,DRX
FOX,Clear,LCK,Clear,Clear_(Song_Hyeon-min),BNK FearX,BNK_FEARX
FOX,Raptor,LCK,Raptor,Raptor_(Jeon_Eo-jin),BNK FearX,BNK_FEARX
FOX,Vicla,LCK,Vicla,Vicla,BNK FearX,BNK_FEARX
FOX,Diable,LCK,Diable,Diable,BNK FearX,BNK_FEARX
FOX,Kellin,LCK,Kellin,Kellin,BNK FearX,BNK_FEARX
GEN,Kiin,LCK,Kiin,Kiin,Gen.G eSports,Gen.G
GEN,Canyon,LCK,Canyon,Canyon,Gen.G eSports,Gen.G
GEN,Chovy,LCK,Chovy,Chovy,Gen.G eSports,Gen.G
GEN,Ruler,LCK,Ruler,Ruler,Gen.G eSports,Gen.G
GEN,Duro,LCK,Duro,Duro,Gen.G eSports,Gen.G
HLE,Zeus,LCK,Zeus,Zeus,Hanwha Life eSports,Hanwha_Life_Esports
HLE,Peanut,LCK,Peanut,Peanut,Hanwha Life eSports,Hanwha_Life_Esports
HLE,Zeka,LCK,Zeka,Zeka_(Kim_Geon-woo),Hanwha Life eSports,Hanwha_Life_Esports
HLE,Viper,LCK,Viper,Viper_(Park_Do-hyeon),Hanwha Life eSports,Hanwha_Life_Esports
HLE,Delight,LCK,Delight,Delight,Hanwha Life eSports,Hanwha_Life_Esports
DN Freecs,DuDu,LCK,DuDu,DuDu_(Lee_Dong-ju),DN Freecs,DN_Freecs
DN Freecs,Pyosik,LCK,Pyosik,Pyosik,DN Freecs,DN_Freecs
DN Freecs,Bulldog,LCK,Bulldog,BuLLDoG_(Lee_Tae-young),DN Freecs,DN_Freecs
DN Freecs,Berserker,LCK,Berserker,Berserker_(Kim_Min-cheol),DN Freecs,DN_Freecs
DN Freecs,Life,LCK,Life,Life,DN Freecs,DN_Freecs
KT,PerfecT,LCK,PerfecT,PerfecT_(Lee_Seung-min),KT Rolster,KT Rolster
KT,Cuzz,LCK,Cuzz,Cuzz,KT Rolster,KT Rolster
KT,Bdd,LCK,Bdd,Bdd,KT Rolster,KT Rolster
KT,Deokdam,LCK,Deokdam,Deokdam,KT Rolster,KT Rolster
