player,country,games,win_rate,kda,avg_kills,avg_deaths,avg_assists,csm,gpm,kp%,dmg%,dpm,vspm,avg_wpm,avg_wcpm,avg_vwpm,gd@15,csd@15,xpd@15,fb_%,fb_victim,penta_kills,solo_kills
113,TR,9,0.444,3.8,2.6,2.7,7.4,5.6,331,0.75,17.4,471,1.29,0.23,0.33,0.21,53,1,-55,0.33299999999999996,0.0,0,2
13,FR,8,0.375,3.2,6.0,3.4,4.8,7.6,416,0.804,34.1,851,1.05,0.4,0.25,0.08,54,-12,-473,0.5,0.125,0,1
1Jiang,TW,7,0.14300000000000002,2.1,2.7,3.3,4.1,6.7,345,0.612,23.0,485,1.18,0.49,0.2,0.29,276,0,0,0.0,0.0,0,0
1xn,CN,8,0.75,5.9,7.5,2.4,6.5,9.5,489,0.833,31.6,872,1.21,0.37,0.38,0.11,471,0,0,0.0,0.0,0,0
23Nino,GR,10,0.2,1.6,2.5,4.1,4.2,7.6,376,0.43200000000000005,21.3,534,0.87,0.36,0.11,0.09,105,0,-429,0.3,0.1,0,3
369,CN,7,0.5710000000000001,2.2,2.4,3.4,5.0,7.9,391,0.51,19.7,538,0.97,0.35,0.17,0.14,92,0,0,0.0,0.0,0,0
3XA,FR,9,0.556,6.4,7.0,2.0,5.8,9.6,486,0.726,30.8,910,1.27,0.46,0.38,0.14,859,4,106,0.556,0.0,0,0
AKi,CN,4,0.75,4.8,3.0,2.8,10.3,7.2,383,0.795,23.4,568,1.24,0.22,0.28,0.19,285,0,0,0.0,0.0,0,0
APA,US,5,0.6,2.5,4.8,4.6,6.8,8.1,416,0.632,27.7,925,1.14,0.42,0.25,0.2,130,0,234,0.0,0.0,0,2
APP,RS,3,0.667,2.1,2.0,3.3,5.0,6.2,342,0.445,15.2,430,0.69,0.18,0.17,0.11,430,8,468,0.33299999999999996,0.0,0,0
Abagnale,TR,8,0.875,3.0,1.0,5.1,14.5,1.1,268,0.769,6.0,177,3.76,2.33,0.44,0.55,-65,6,-127,0.375,0.25,0,0
Abbedagge,DE,5,0.2,1.6,2.4,3.2,2.6,8.2,365,0.499,24.9,633,0.98,0.42,0.21,0.2,-659,-8,-658,0.2,0.0,0,0
About,KR,11,0.182,2.5,4.5,3.5,4.5,9.5,433,0.725,29.8,796,1.35,0.49,0.35,0.18,-205,4,145,0.364,0.091,0,1
Abyssxd,BA,2,0.0,2.8,1.5,4.0,9.5,1.1,251,0.879,7.7,157,1.83,0.84,0.15,0.16,-314,1,418,0.5,0.0,0,0
Ackerman,AR,7,0.7140000000000001,4.6,0.7,2.4,10.4,1.0,258,0.8059999999999999,8.2,249,3.56,1.76,0.41,0.51,31,-5,115,0.14300000000000002,0.429,0,0
Adam,FR,9,0.111,1.9,2.6,3.3,3.8,8.4,395,0.618,22.6,477,1.07,0.38,0.26,0.11,-380,2,53,0.111,0.222,0,0
Adryh,ES,9,0.0,0.8,1.1,4.0,2.2,8.3,353,0.552,24.0,506,0.7,0.29,0.2,0.04,-1560,-11,-650,0.111,0.0,0,1
Adyyy,CZ,10,0.2,2.9,3.6,3.0,5.2,8.4,390,0.544,28.4,708,0.64,0.23,0.14,0.02,-94,0,-73,0.3,0.1,0,4
Aegis,BR,5,0.6,5.7,3.6,2.6,11.2,6.2,357,0.769,15.5,438,1.29,0.2,0.3,0.16,-27,-7,-207,0.4,0.2,0,0
Aetinoth,TR,10,0.7,5.8,5.0,1.6,4.2,9.2,459,0.573,28.7,762,0.98,0.46,0.25,0.08,633,0,291,0.2,0.0,0,5
Afroboi,DE,9,0.556,6.0,5.0,2.0,7.0,7.1,394,0.753,14.5,389,1.17,0.12,0.33,0.12,37,-1,-166,0.33299999999999996,0.111,0,0
Agresivoo,PL,4,1.0,5.8,5.3,2.3,7.8,8.3,425,0.535,21.5,714,1.07,0.48,0.19,0.15,-89,0,193,0.25,0.0,0,3
Agurin,DE,9,0.556,2.4,2.6,4.7,8.8,7.1,371,0.624,18.9,540,1.31,0.31,0.29,0.13,-27,0,-110,0.444,0.0,0,0
Aiming,KR,14,0.7140000000000001,12.2,3.9,0.9,7.4,9.3,444,0.7240000000000001,30.5,809,1.12,0.45,0.31,0.12,84,4,94,0.214,0.071,0,3
AkHasspun,SE,4,0.25,1.6,0.3,4.8,7.5,1.0,222,0.855,9.5,202,2.42,1.16,0.26,0.24,-45,0,-70,0.25,0.0,0,0
Ale,CN,8,0.75,6.7,2.6,1.4,6.6,7.7,385,0.603,22.8,666,0.85,0.41,0.13,0.14,-25,0,0,0.0,0.0,0,0
Alive,KR,4,1.0,5.9,5.8,2.3,7.5,9.5,454,0.72,25.1,681,1.06,0.35,0.3,0.09,-15,-2,222,0.5,0.25,0,0
Alix,TR,8,0.375,3.8,3.5,2.6,6.4,8.7,403,0.701,30.5,722,0.92,0.31,0.23,0.1,557,4,349,0.375,0.0,0,2
Alvaro,ES,9,0.667,5.0,1.0,2.7,12.3,1.0,274,0.8240000000000001,7.2,205,3.94,1.92,0.52,0.49,315,-4,-122,0.667,0.111,0,0
Andariel,TR,10,0.4,4.5,4.3,2.2,5.5,8.6,417,0.77,25.3,569,0.93,0.36,0.22,0.12,510,6,343,0.2,0.0,0,0
Andil,KR,15,0.5329999999999999,2.3,0.4,3.7,7.9,1.0,237,0.691,7.7,183,3.23,1.57,0.41,0.45,-344,1,-126,0.267,0.267,0,0
Angel,CN,7,0.14300000000000002,3.0,1.7,2.9,6.7,8.3,376,0.738,27.7,648,1.21,0.42,0.27,0.23,-192,0,0,0.0,0.0,0,0
Anyone,PL,5,0.4,3.4,6.2,2.8,3.2,8.9,457,0.546,27.7,700,0.46,0.21,0.11,0.0,36,-17,-523,0.4,0.2,0,2
ArQuel,PL,4,0.0,1.1,1.8,3.8,2.3,6.2,304,0.504,14.1,282,0.93,0.4,0.12,0.15,312,5,158,0.0,0.0,0,0
Aress,VN,10,0.5,3.9,2.5,2.0,5.3,8.4,404,0.5,22.0,556,1.03,0.44,0.22,0.16,1,2,239,0.1,0.2,0,1
Aria,KR,9,0.222,4.4,5.2,2.3,5.1,8.7,430,0.84,30.7,791,1.25,0.36,0.35,0.23,413,4,227,0.222,0.111,0,1
